Frequency (Hz)	Level (dB)
6535.327148	-44.075485
6546.093750	-40.475277
6556.860352	-37.883278
6567.626953	-36.134876
6578.393555	-35.772278
6589.160156	-35.607468
6599.926758	-36.107048
6610.693359	-37.050880
6621.459961	-39.217098
6632.226562	-42.441074
6642.993164	-44.215900
6653.759766	-43.770348
6664.526367	-42.061554
6675.292969	-41.070065
6686.059570	-40.292091
6696.826172	-38.692383
6707.592773	-36.404343
6718.359375	-34.342186
6729.125977	-33.269207
6739.892578	-32.803879
6750.659180	-32.813698
6761.425781	-33.404766
6772.192383	-34.404728
6782.958984	-36.404545
6793.725586	-39.797974
6804.492188	-43.015907
6815.258789	-44.329300
6826.025391	-41.518982
6836.791992	-40.034992
6847.558594	-41.209175
6858.325195	-42.623745
6869.091797	-40.008839
6879.858398	-37.163261
6890.625000	-35.829945
6901.391602	-36.236534
6912.158203	-36.523750
6922.924805	-35.749416
6933.691406	-35.859760
6944.458008	-37.223816
6955.224609	-39.185146
6965.991211	-40.822472
6976.757812	-42.667576
6987.524414	-42.353058
6998.291016	-40.858479
7009.057617	-40.723568
7019.824219	-40.219322
7030.590820	-38.779373
7041.357422	-38.410160
7052.124023	-39.376881
7062.890625	-40.091488
7073.657227	-38.677711
7084.423828	-37.736420
7095.190430	-37.898674
7105.957031	-37.060371
7116.723633	-35.402531
7127.490234	-34.379532
7138.256836	-34.440441
7149.023438	-36.095154
7159.790039	-37.423370
7170.556641	-36.222359
7181.323242	-34.867966
7192.089844	-34.643814
7202.856445	-35.095478
7213.623047	-34.831284
7224.389648	-34.841610
7235.156250	-35.512386
7245.922852	-35.043812
7256.689453	-33.730835
7267.456055	-33.960140
7278.222656	-35.989929
7288.989258	-38.181225
7299.755859	-38.809040
7310.522461	-38.054157
7321.289062	-36.429024
7332.055664	-34.302944
7342.822266	-33.538174
7353.588867	-35.407551
7364.355469	-35.611954
7375.122070	-33.581318
7385.888672	-32.126984
7396.655273	-31.691473
7407.421875	-32.644913
7418.188477	-33.326969
7428.955078	-32.795456
7439.721680	-32.633289
7450.488281	-33.594475
7461.254883	-34.371750
7472.021484	-34.418949
7482.788086	-34.615955
7493.554688	-36.211697
7504.321289	-38.522091
7515.087891	-38.492008
7525.854492	-37.185066
7536.621094	-36.723698
7547.387695	-35.744499
7558.154297	-34.855709
7568.920898	-35.672966
7579.687500	-36.682533
7590.454102	-36.267296
7601.220703	-36.778450
7611.987305	-36.659061
7622.753906	-34.686333
7633.520508	-33.400299
7644.287109	-32.790970
7655.053711	-33.581566
7665.820312	-35.050060
7676.586914	-36.698509
7687.353516	-39.413712
7698.120117	-41.360256
7708.886719	-40.928978
7719.653320	-39.877098
7730.419922	-40.226952
7741.186523	-42.182831
7751.953125	-43.570847
7762.719727	-42.888680
7773.486328	-40.232433
7784.252930	-38.207584
7795.019531	-37.798298
7805.786133	-39.435551
7816.552734	-42.563972
7827.319336	-46.410320
7838.085938	-46.120670
7848.852539	-43.579136
7859.619141	-40.726185
7870.385742	-39.374165
7881.152344	-39.167389
7891.918945	-38.433727
7902.685547	-37.014603
7913.452148	-35.521168
7924.218750	-35.099060
7934.985352	-36.374142
7945.751953	-38.439774
7956.518555	-38.668594
7967.285156	-38.629448
7978.051758	-38.412849
7988.818359	-37.606297
7999.584961	-37.774155
8010.351562	-38.847336
8021.118164	-39.556767
8031.884766	-38.169594
8042.651367	-35.856331
8053.417969	-34.016869
8064.184570	-33.198166
8074.951172	-33.381786
8085.717773	-34.320942
8096.484375	-34.305008
8107.250977	-34.406548
8118.017578	-34.666077
8128.784180	-34.638981
8139.550781	-35.303810
8150.317383	-36.196438
8161.083984	-35.930969
